Time,Voltage (V),Current (A),Thrust Force (g),Temperature (C),Speed (RPM)
15:42:31.800244,-0.031,-0.009,-42.119,24.068,0.0
15:42:32.600196,-0.023,-0.055,-35.761,23.959,0.0
15:42:32.602797,-0.02,0.009,-14.568,24.215,0.0
15:42:33.000233,-0.017,-0.023,1252.759,24.215,0.0
15:42:33.800372,-0.026,-0.014,2577.306,24.215,0.0
15:42:33.802475,-0.015,0.0,3306.337,24.178,0.0
15:42:34.200426,-0.021,-0.046,2816.785,24.142,0.0
15:42:35.000562,-0.008,0.0,2653.6,24.068,0.0
15:42:35.002610,-0.026,0.018,3028.712,24.178,0.0
15:42:35.800648,-0.031,0.009,-40.0,24.142,0.0
15:42:35.802694,-0.011,-0.005,-40.0,24.068,0.0
15:42:36.200758,-0.021,0.005,-27.284,24.215,0.0
15:42:37.000839,-0.017,0.037,-37.88,24.032,0.0
15:42:37.002952,-0.029,0.018,-46.358,24.105,0.0
15:42:37.400927,-0.012,0.005,-35.761,24.252,0.0
15:42:38.200976,-0.017,0.009,-23.046,24.215,0.0
15:42:38.202987,-0.02,-0.014,269.415,24.178,0.0
15:42:39.001078,-0.014,0.014,2424.719,23.959,0.0
15:42:39.003129,-0.02,-0.023,2558.233,23.959,0.0
15:42:39.401200,-0.023,-0.027,2464.985,24.032,0.0
15:42:40.201306,-0.015,0.014,2172.525,24.215,0.0
15:42:40.203367,-0.031,-0.037,2318.755,24.105,0.0
15:42:40.601330,-0.023,0.0,2138.616,24.142,0.0
15:42:41.401453,-0.024,-0.046,-69.67,24.105,0.0
15:42:41.403492,-0.011,-0.027,-61.192,24.142,0.0
15:42:42.201599,-0.011,0.005,-56.954,24.215,0.0
15:42:42.203705,-0.011,-0.009,-42.119,24.142,0.0
15:42:42.601605,-0.017,-0.014,-44.238,24.142,0.0
